BARCODE NO,PURCHASE CLASS,DEPARTMENT,MERCHANDISE CATEGORY,Category,Sub category,ITEM DESCRIPTION,HEELS,GENDER,UPPER MATERIAL,OUTSOLE,VENDOR CODE,PRODUCT STYLE CODE,BRAND NAME,COLOR,SIZE,COST PRICE,PLANNED MRP,PRODUCT TAX,IMAGE LINK,HSN CODE,Product Tax Group
23052026009-36,,Products,CHAPPAL,CHAPPAL,MUEL,2097 CHAPPAL MUEL,,,,,,2097,SMRITI,BLACK,36,0.0,1499.0,18,,64041990,
23052026007-36,,Products,CHAPPAL,CHAPPAL,MUEL,10019 CHAPPAL MUEL,,,,,,10019,SMRITI,BLACK,36,0.0,1399.0,18,,64041990,
23052026005-36,,Products,SANDAL,SANDAL,MUEL,20001 SANDAL MUEL,,,,,,20001,SMRITI,BLACK,36,0.0,1999.0,18,,64041990,
23052026003-36,,Products,CHAPPAL,CHAPPAL,BURMY,2006 CHAPPAL BURMY,,,,,,2006,SMRITI,BLACK,36,0.0,1499.0,18,,64041990,
23052026001-36,,Products,SANDAL,SANDAL,LASTIC PATTA,20016 SANDAL LASTIC PATTA,,,,,,20016,SMRITI,BLACK,36,0.0,1899.0,18,,64041990,
23052026010-42,,Products,CHAPPAL,CHAPPAL,MUEL,2097 CHAPPAL MUEL,,,,,,2097,SMRITI,PISTA,42,0.0,1499.0,18,,64041990,
23052026010-41,,Products,CHAPPAL,CHAPPAL,MUEL,2097 CHAPPAL MUEL,,,,,,2097,SMRITI,PISTA,41,0.0,1499.0,18,,64041990,
23052026010-40,,Products,CHAPPAL,CHAPPAL,MUEL,2097 CHAPPAL MUEL,,,,,,2097,SMRITI,PISTA,40,0.0,1499.0,18,,64041990,
23052026010-39,,Products,CHAPPAL,CHAPPAL,MUEL,2097 CHAPPAL MUEL,,,,,,2097,SMRITI,PISTA,39,0.0,1499.0,18,,64041990,
23052026010-38,,Products,CHAPPAL,CHAPPAL,MUEL,2097 CHAPPAL MUEL,,,,,,2097,SMRITI,PISTA,38,0.0,1499.0,18,,64041990,
23052026010-37,,Products,CHAPPAL,CHAPPAL,MUEL,2097 CHAPPAL MUEL,,,,,,2097,SMRITI,PISTA,37,0.0,1499.0,18,,64041990,
23052026010-36,,Products,CHAPPAL,CHAPPAL,MUEL,2097 CHAPPAL MUEL,,,,,,2097,SMRITI,PISTA,36,0.0,1499.0,18,,64041990,
23052026009-42,,Products,CHAPPAL,CHAPPAL,MUEL,2097 CHAPPAL MUEL,,,,,,2097,SMRITI,BLACK,42,0.0,1499.0,18,,64041990,
23052026009-41,,Products,CHAPPAL,CHAPPAL,MUEL,2097 CHAPPAL MUEL,,,,,,2097,SMRITI,BLACK,41,0.0,1499.0,18,,64041990,
23052026009-40,,Products,CHAPPAL,CHAPPAL,MUEL,2097 CHAPPAL MUEL,,,,,,2097,SMRITI,BLACK,40,0.0,1499.0,18,,64041990,
23052026009-39,,Products,CHAPPAL,CHAPPAL,MUEL,2097 CHAPPAL MUEL,,,,,,2097,SMRITI,BLACK,39,0.0,1499.0,18,,64041990,
23052026009-38,,Products,CHAPPAL,CHAPPAL,MUEL,2097 CHAPPAL MUEL,,,,,,2097,SMRITI,BLACK,38,0.0,1499.0,18,,64041990,
23052026009-37,,Products,CHAPPAL,CHAPPAL,MUEL,2097 CHAPPAL MUEL,,,,,,2097,SMRITI,BLACK,37,0.0,1499.0,18,,64041990,
23052026008-42,,Products,CHAPPAL,CHAPPAL,MUEL,10019 CHAPPAL MUEL,,,,,,10019,SMRITI,BEIGE,42,0.0,1399.0,18,,64041990,
23052026008-41,,Products,CHAPPAL,CHAPPAL,MUEL,10019 CHAPPAL MUEL,,,,,,10019,SMRITI,BEIGE,41,0.0,1399.0,18,,64041990,
23052026008-40,,Products,CHAPPAL,CHAPPAL,MUEL,10019 CHAPPAL MUEL,,,,,,10019,SMRITI,BEIGE,40,0.0,1399.0,18,,64041990,
23052026008-39,,Products,CHAPPAL,CHAPPAL,MUEL,10019 CHAPPAL MUEL,,,,,,10019,SMRITI,BEIGE,39,0.0,1399.0,18,,64041990,
23052026008-38,,Products,CHAPPAL,CHAPPAL,MUEL,10019 CHAPPAL MUEL,,,,,,10019,SMRITI,BEIGE,38,0.0,1399.0,18,,64041990,
