BARCODE NO	PRODUCT STYLE CODE	ITEM DESCRIPTION	BRAND NAME	COLOR	SIZE	PLANNED MRP	COST PRICE	PRODUCT TAX	HSN CODE	GENDER	VENDOR CODE	PURCHASE CLASS	DEPARTMENT	MERCHANDISE CATEGORY	Sub category	HEELS	UPPER MATERIAL	OUTSOLE	IMAGE LINK
1048-WHITE-39	1048	1048	TATTLY THREADS	WHITE	39	1699.0		5	640200	LADIES	NA		Products						
1057-OFF WHITE-39	1057	1057	TATTLY THREADS	OFF WHITE	39	1499.0		5	640200	LADIES	NA		Products						
1078-BLACK-37	1078	1078	TATTLY THREADS	BLACK	37	1499.0		5	640200	LADIES	NA		Products						
1096-ANTIQUE-39	1096	1096	TATTLY THREADS	ANTIQUE	39	1299.0		5	640200	LADIES	NA		Products						
1119-BLACK-37	1119	1119	TATTLY THREADS	BLACK	37	1999.0		5	640200	LADIES	NA		Products						
1120-BLUE-41	1120	1120	TATTLY THREADS	BLUE	41	1375.0		5	640200	LADIES	NA		Products						
1137-BLACK-39	1137	1137	TATTLY THREADS	BLACK	39	1625.0		5	640200	LADIES	NA		Products						
1139-SULTAN-36	1139	1139	TATTLY THREADS	SULTAN	36	1699.0		5	640200	LADIES	NA		Products						
1180-BLACK-42	1180	1180	TATTLY THREADS	BLACK	42	1899.0		5	640200	LADIES	NA		Products						
1206-ANTIQUE-40	1206	1206	TATTLY THREADS	ANTIQUE	40	1650.0		5	640200	LADIES	NA		Products						
1206-CREAM-41	1206	1206	TATTLY THREADS	CREAM	41	1299.0		5	640200	LADIES	NA		Products						
1206-CREAM-42	1206	1206	TATTLY THREADS	CREAM	42	1499.0		5	640200	LADIES	NA		Products						
1206-GREY-37	1206	1206	TATTLY THREADS	GREY	37	999.0		5	640200	LADIES	NA		Products						
1206-MUSTARD-38	1206	1206	TATTLY THREADS	MUSTARD	38	1499.0		5	640200	LADIES	NA		Products						
1206-MUSTARD-39	1206	1206	TATTLY THREADS	MUSTARD	39	1499.0		5	640200	LADIES	NA		Products						
1234-MUSTARD-41	1234	1234	TATTLY THREADS	MUSTARD	41	1499.0		5	640200	LADIES	NA		Products						
1383-BLACK-38	1383	1383	TATTLY THREADS	BLACK	38	1699.0		5	640200	LADIES	NA		Products						
1383-PEACH-38	1383	1383	TATTLY THREADS	PEACH	38	1499.0		5	640200	LADIES	NA		Products						
1384-GREY-38	1384	1384	TATTLY THREADS	GREY	38	1899.0		5	640200	LADIES	NA		Products						
1414-GUNMETAL-41	1414	1414	TATTLY THREADS	GUNMETAL	41	1699.0		5	640200	LADIES	NA		Products						
1414-PEACH-40	1414	1414	TATTLY THREADS	PEACH	40	1499.0		5	640200	LADIES	NA		Products						
1463-ANTIQUE-40	1463	1463	TATTLY THREADS	ANTIQUE	40	1899.0		5	640200	LADIES	NA		Products						
1463-WHITE-38	1463	1463	TATTLY THREADS	WHITE	38	1499.0		5	640200	LADIES	NA		Products						
1564-GREY-42	1564	1564	TATTLY THREADS	GREY	42	1499.0		5	640200	LADIES	NA		Products						
1569-CREAM-41	1569	1569	TATTLY THREADS	CREAM	41	1299.0		5	640200	LADIES	NA		Products						
1569-GREY-39	1569	1569	TATTLY THREADS	GREY	39	1499.0		5	640200	LADIES	NA		Products						
1569-GREY-41	1569	1569	TATTLY THREADS	GREY	41	1499.0		5	640200	LADIES	NA		Products						
1570-CREAM-38	1570	1570	TATTLY THREADS	CREAM	38	1499.0		5	640200	LADIES	NA		Products						
1592-CREAM-38	1592	1592	TATTLY THREADS	CREAM	38	1699.0		5	640200	LADIES	NA		Products						
1599-WHITE-39	1599	1599	TATTLY THREADS	WHITE	39	1999.0		5	640200	LADIES	NA		Products						
2006-CREAM-40	2006	2006	TATTLY THREADS	CREAM	40	1299.0		5	640200	LADIES	NA		Products						
2006-GUNMETAL-38	2006	2006	TATTLY THREADS	GUNMETAL	38	1699.0		5	640200	LADIES	NA		Products						
